sample_id,dataset,emotion,split,pitch_mean,pitch_std,voiced_ratio,rms_mean,rms_std,zcr_mean,zcr_std,pause_ratio,pause_count,speaking_continuity
s001821,CREMA-D,angry,train,282.75342666494913,35.488262270728605,0.8266666666666667,0.12892102556078125,0.07583144227945751,0.0980494966442953,0.04107580368339208,0.013513513513513487,0,0.9864864864864865
s004293,CREMA-D,angry,train,164.50709996531936,39.84376956291755,0.5543478260869565,0.09680888229859588,0.11096524385354369,0.07966945482336957,0.06122485708344292,0.010893153482830487,0,0.9891068465171695
s001145,CREMA-D,angry,validation,343.6744484421021,82.22131462787502,0.6764705882352942,0.08769561968563097,0.0903702177245484,0.18643598414179105,0.09250366304372953,0.0,0,1.0
s003865,CREMA-D,angry,train,197.5504832397816,68.65809235254885,0.9047619047619048,0.1500398795462651,0.08734617307863808,0.0920910203313253,0.02964028112697892,0.0,0,1.0
s003373,CREMA-D,angry,train,301.33977187294437,58.96956175367644,0.8983050847457628,0.19339868168418223,0.14687643494788358,0.09905849358974358,0.04568302871522618,0.0,0,1.0
s005377,CREMA-D,angry,train,328.87798729985946,44.24165452229733,0.8076923076923077,0.09772811373424473,0.07459101586611239,0.17315496055825244,0.15641980052398197,0.0,0,1.0
s001869,CREMA-D,angry,test,254.9480358680048,28.457874106108857,0.6666666666666666,0.1881933208717496,0.15054649437999715,0.1630400587248322,0.1208240617603134,0.06756756756756754,2,0.9324324324324325
s003367,CREMA-D,angry,train,275.239502901548,74.69130609778172,0.8412698412698413,0.07156959205120803,0.06398921387177141,0.145890625,0.15056153519045373,0.048387096774193505,0,0.9516129032258065
s007440,CREMA-D,angry,train,265.36796578843445,16.615099308133978,0.7567567567567568,0.1364885158390317,0.09278212280795496,0.13699967893835616,0.06051482064720448,0.0,0,1.0
s005447,CREMA-D,angry,test,283.9172778735648,45.433041529213035,0.46153846153846156,0.06312807222768184,0.060531341318785174,0.08646043346774193,0.0670732701217789,0.0,0,1.0
s002799,CREMA-D,angry,train,205.8631934463522,37.84418471355249,0.5,0.20718783733427404,0.14395403597032544,0.10414284806910569,0.041873782478929165,0.0,0,1.0
s008690,TESS,angry,test,296.78906064645145,50.768065354660436,0.8863636363636364,0.12355147542207148,0.10473929419331983,0.10366154813218391,0.1029903806083539,0.023255813953488413,0,0.9767441860465116
s008635,TESS,angry,test,265.7870474861801,55.787040092720865,0.8958333333333334,0.17344007065127554,0.13388472287060166,0.10401932565789473,0.12071861520134063,0.0,0,1.0
s003094,CREMA-D,angry,train,129.56224905904872,5.352363168003544,0.5245901639344263,0.10598101948204709,0.10793928940939206,0.08261558657786885,0.04475270439157316,0.01652359129929648,0,0.9834764087007035
s009698,TESS,angry,train,249.61611474047493,47.09137398685256,0.5873015873015873,0.0909264171551913,0.07661804189153083,0.2440234375,0.23321894575732105,0.06451612903225812,2,0.9354838709677419
s003251,CREMA-D,angry,train,253.01892534872997,41.32968141704631,0.92,0.08077542516732156,0.0818156212148799,0.1331478851010101,0.08736825706305741,0.020408163265306145,0,0.9795918367346939
